City,Surface_m2,Rooms,Age,Distance_Center,Price_MAD
Tanger,152,4,7,7,1767000
Rabat,134,4,23,4,2094000
Marrakech,209,6,1,12,2738000
Agadir,97,3,27,1,845000
Tanger,117,6,11,17,1392000
Marrakech,118,3,27,16,1216000
Agadir,249,4,11,3,2565000
Fes,110,6,8,7,1065000
Rabat,191,2,27,14,2816000
Rabat,68,3,20,2,1028000
Tanger,151,5,6,12,1791000
Fes,67,4,13,17,521000
Tanger,109,5,1,6,1409000
Agadir,165,5,21,18,1600000
Rabat,103,3,9,4,1688000
Agadir,154,5,24,8,1510000
Fes,141,6,23,13,1133000
Casablanca,216,6,0,7,3505000
Casablanca,147,2,11,8,2155000
Marrakech,140,4,2,1,1855000
Marrakech,64,3,6,9,813000
Tanger,194,2,7,12,2104000
Rabat,92,6,2,12,1692000
Agadir,94,2,2,5,995000
Agadir,190,2,4,14,1890000
Marrakech,196,3,9,13,2347000
Marrakech,122,2,19,4,1354000
Agadir,210,6,14,11,2205000
Fes,95,6,6,19,905000
Agadir,87,3,9,13,865000
Agadir,244,6,5,12,2630000
Tanger,143,4,25,7,1488000
Agadir,188,2,26,13,1655000
Casablanca,62,4,8,5,1025000
Casablanca,110,3,11,15,1615000
Marrakech,177,2,19,17,1949000
Agadir,245,5,11,7,2555000
Rabat,190,2,4,17,3015000
Casablanca,246,2,1,2,3770000
Tanger,113,6,0,1,1538000
Marrakech,185,3,20,12,2110000
Rabat,219,5,22,11,3479000
Marrakech,204,6,19,2,2548000
Agadir,198,2,8,6,1970000
Fes,62,5,27,4,456000
Marrakech,149,4,18,7,1773000
Tanger,220,3,7,1,2495000
Marrakech,244,2,17,10,2808000
Marrakech,66,5,15,16,812000
Casablanca,119,2,1,1,1870000
Agadir,199,6,4,9,2205000
Casablanca,158,4,15,16,2340000
Marrakech,207,2,23,11,2299000
Casablanca,223,5,29,3,3290000
Agadir,158,2,28,18,1310000
Agadir,141,3,21,3,1335000
Fes,228,5,0,4,2054000
Casablanca,201,6,15,8,3125000
Marrakech,204,2,15,12,2338000
Marrakech,174,6,18,8,2168000
Marrakech,86,3,20,1,977000
Tanger,170,2,4,16,1850000
Marrakech,63,4,16,17,711000
Tanger,217,6,13,6,2527000
Marrakech,183,2,4,17,2171000
Agadir,240,4,27,1,2325000
Tanger,219,2,2,18,2399000
Casablanca,113,3,2,8,1785000
Agadir,83,3,14,2,830000
Marrakech,189,3,16,8,2218000
Casablanca,196,4,21,16,2850000
Fes,229,3,2,18,1872000
Casablanca,211,6,27,7,3160000
Casablanca,95,6,19,1,1530000
Agadir,203,5,18,15,2025000
Tanger,157,3,22,19,1562000
Casablanca,245,6,21,17,3680000
Tanger,229,4,27,5,2424000
Casablanca,67,6,27,12,975000
Tanger,64,5,5,13,839000
Tanger,153,4,22,8,1623000
Tanger,203,6,17,10,2313000
Agadir,206,2,23,19,1835000
Tanger,117,3,4,9,1352000
Tanger,188,3,25,1,1963000
Rabat,155,2,7,13,2445000
Fes,188,6,6,5,1719000
Agadir,152,4,11,16,1530000
Marrakech,145,2,28,14,1490000
Tanger,128,2,29,14,1148000
Agadir,203,3,25,16,1850000
Fes,98,5,0,5,1009000
Rabat,69,6,3,2,1364000
Tanger,197,3,18,1,2132000
Fes,63,3,16,12,434000
Rabat,222,5,0,1,3797000
Fes,238,4,4,12,2004000
Marrakech,124,2,7,10,1468000
Marrakech,103,6,12,12,1356000
Agadir,189,6,18,18,1920000
